p0,T,Iter,BIC_Rel_MSE,BMA_Rel_MSE
4,96,0,2.349914768727966,1.7051255375253624
4,96,1,1.0365227362035947,0.3903881335304158
4,144,0,1.1238117292025702,3.013967292856018
4,144,1,,
4,240,0,1.322865253665798,2.9199465812027126
4,240,1,0.26813071562038765,2.073543957013988
4,480,0,3.631073848193515,13.659066746506728
4,480,1,1.2094502874310378,0.21612173141113047
6,96,0,0.8510502503529868,0.6352367062283224
6,96,1,0.647971259785188,1.9238619634655667
6,144,0,0.657672620713483,0.5640430142344487
6,144,1,0.7946018480730487,1.1890632069492422
6,240,0,0.31908893989753573,1.9456746645314364
6,240,1,1.3369882206430077,1.1350918608438851
6,480,0,1.2553373635060263,0.09089544313388928
6,480,1,6.840613887696899,1.9384638202632443
8,96,0,1.9607066184882342,2.85882999596059
8,96,1,0.9145947060786482,1.348274054742719
8,144,0,0.15417346845291915,0.20916224246910645
8,144,1,1.6411126089599812,
8,240,0,0.1671802962782513,0.9604144317394735
8,240,1,2.6606729944743823,0.8800924789689101
8,480,0,0.20891470650360947,0.5355080695046165
8,480,1,0.1261206024512341,0.04871790274442708
10,96,0,1.3909610521164308,0.13448387056006442
10,96,1,0.6875397723390164,1.6547633602070482
10,144,0,0.9299687806546273,3.1884634285563496
10,144,1,0.3424214034307339,0.98540752955337
10,240,0,0.9204106999586601,1.6673963782028935
10,240,1,0.903225011007581,3.745714980273882
10,480,0,0.7914589081618694,1.199681788480549
10,480,1,0.07909104555703028,1.5888351595210384
