p0,T,Iter,Tau,MDD
4,240,0,0.05,-3281.7742442933586
4,240,0,0.2,-3177.468112307273
4,240,0,0.35,-3193.164245779545
4,240,0,0.5,-3218.6609195853043
4,240,0,0.65,-3244.5963461431847
4,240,0,0.8,-3269.25167639748
4,240,0,0.95,-3292.337285437048
4,240,1,0.05,-3244.350097284734
4,240,1,0.2,-3136.6240316238627
4,240,1,0.35,-3147.8795724286965
4,240,1,0.5,-3170.2553901958427
4,240,1,0.65,-3194.377019280754
4,240,1,0.8,-3217.9718919419147
4,240,1,0.95,-3240.3875340757813
4,600,0,0.05,-8042.852281205173
4,600,0,0.2,-7801.672933287796
4,600,0,0.35,-7811.535279384091
4,600,0,0.5,-7842.337318954032
4,600,0,0.65,-7875.155844303884
4,600,0,0.8,-7906.388483292623
4,600,0,0.95,-7935.29492653453
4,600,1,0.05,-8045.415230562662
4,600,1,0.2,-7811.614989953791
4,600,1,0.35,-7827.457695893593
4,600,1,0.5,-7861.042620454749
4,600,1,0.65,-7895.382374129523
4,600,1,0.8,-7927.53148415823
4,600,1,0.95,-7957.026878415015
